times collected,species
12,Stereodon pratensis (W.D.J. Koch ex Spruce) E. Britton
12,Syntrichia bartramii (Steere) R.H. Zander
12,Syntrichia papillosa (Wilson ex Spruce) Spruce
12,Syntrichia ruralis subsp. Subpapillosissima (W.A. Kramer) W.A. Kramer
12,Trichostomopsis australasiae (Hook. & Grev.) H. Rob.
13,"Callicladium imponens (Hedw.) Hedenäs, Schlesak & D. Quandt"
13,Crossidium squamiferum (Viv.) Jur.
13,Dicranum groenlandicum Brid.
13,Drepanocladus capillifolius (Warnst.) Warnst.
13,Haplodontium macrocarpum (Drumm.) J.R. Spence
13,Hylocomiastrum pyrenaicum (Spruce) M. Fleisch. ex Broth.
13,Plagiothecium cavifolium (Brid.) Z. Iwats.
13,Roellobryon roellii (Broth.) Ochyra
13,Schistidium pulchrum H.H. Blom
14,Bartramia potosica Mont.
14,Brachythecium albicans (Hedw.) Schimp.
14,Brachythecium laetum (Brid.) Schimp.
14,Ceratodon purpureus F. Brevifolius (Milde) E. Britton ex Grout
14,"Dicranellopsis subulata (Hedw.) Bonfim Santos, Siebel & Fedosov"
14,Grimmia anomala Hampe ex Schimp.
14,Platyhypnum cochleariifolium (Venturi) Ochyra
14,Platyhypnum smithii (Sw.) Ochyra
14,Ptychostomum cyclophyllum (Schwägr.) J.R. Spence
14,Racomitrium canescens (Hedw.) Brid.
14,Schistidium platyphyllum (Mitt.) Perss.
15,Anacolia menziesii (Turner) Paris
15,Bryoerythrophyllum ferruginascens (Stirt.) Giacom.
15,Bryum gemmiparum De Not.
15,Fissidens osmundioides Hedw.
15,Gemmabryum dichotomum (Hedw.) J.R. Spence & H.P. Ramsay
15,Grimmia incurva Schwägr.
15,Grimmia laevigata (Brid.) Brid.
15,Molendoa sendtneriana (Bruch & Schimp.) Limpr.
15,Pohlia elongata var. Acuminata (Hornsch.) Huebener
15,Polytrichum commune Hedw.
15,Sarmentypnum trichophyllum (Warnst.) Hedenäs
15,Schistidium flaccidum (De Not.) Ochyra
15,Schistidium strictum (Turner) Loeske ex Mårtensson
15,Scorpidium scorpioides (Hedw.) Limpr.
15,Sphagnum platyphyllum (Lindb. ex Braithw.) Sull. ex Warnst.
15,Tayloria froelichiana (Hedw.) Mitt. ex Broth.
15,Tortula leucostoma (R. Br.) Hook. & Grev.
16,Amblyodon dealbatus (Hedw.) P. Beauv.
16,"Anomobryum julaceum (Schrad. ex G. Gaertn., B. Mey. & Scherb.) Schimp."
16,Calliergon richardsonii (Mitt.) Kindb. ex G. Roth
16,Campylopus subulatus Schimp. ex Milde
16,"Chionoloma tenuirostre (Hook. & Taylor) M. Alonso, M.J. Cano & J.A. Jiménez"
16,Drepanocladus polygamus (Schimp.) Hedenäs
16,Encalypta procera Bruch
16,Fissidens sublimbatus Grout
16,Pogonatum urnigerum (Hedw.) P. Beauv.
16,Sciuro-Hypnum oedipodium (Mitt.) Ignatov & Huttunen
16,Taxithelium planum (Brid.) Mitt.
16,Tortula subulata Hedw.
